epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,292.322,1.71277,1.10816,1.16469,0.65402,0.6,0.60026,0.19692,2.0631,1.66594,1.43886,0.000911,0.000911,0.000911
57,297.415,1.70297,1.06241,1.16013,0.69439,0.6375,0.64717,0.20692,2.10536,1.65616,1.46796,0.0008912,0.0008912,0.0008912
58,302.498,1.75993,1.05848,1.18697,0.72073,0.64522,0.63959,0.21209,2.14796,1.70257,1.49166,0.0008714,0.0008714,0.0008714
59,307.585,1.69977,1.11654,1.1966,0.74603,0.5625,0.6303,0.21357,2.11843,1.63462,1.45808,0.0008516,0.0008516,0.0008516
60,312.669,1.62473,1.05959,1.1472,0.73759,0.6,0.65469,0.21653,2.15933,1.60048,1.48397,0.0008318,0.0008318,0.0008318
61,317.768,1.65512,1.04692,1.16416,0.68011,0.69099,0.68002,0.20209,2.21812,1.58365,1.51087,0.000812,0.000812,0.000812
62,322.869,1.65722,1.03246,1.16286,0.71271,0.6125,0.59918,0.20287,2.24811,1.52362,1.54075,0.0007922,0.0007922,0.0007922
63,327.953,1.66124,1.04217,1.17353,0.62925,0.625,0.60806,0.2046,2.15192,1.62402,1.49259,0.0007724,0.0007724,0.0007724
64,333.05,1.64553,1.03009,1.18829,0.68713,0.65,0.63269,0.2132,2.14404,1.58545,1.49149,0.0007526,0.0007526,0.0007526
65,338.127,1.6908,1.02319,1.18178,0.61239,0.632,0.59578,0.19428,2.16134,1.62571,1.486,0.0007328,0.0007328,0.0007328
66,343.239,1.66478,1.0125,1.16068,0.59066,0.63133,0.57188,0.18358,2.22518,1.68433,1.52694,0.000713,0.000713,0.000713
67,348.324,1.62108,1.0187,1.1747,0.68548,0.65,0.63029,0.19838,2.15223,1.67143,1.481,0.0006932,0.0006932,0.0006932
68,353.425,1.56895,1.00879,1.16098,0.64777,0.65,0.66696,0.22518,2.06143,1.60604,1.43912,0.0006734,0.0006734,0.0006734
69,358.55,1.64633,0.96622,1.13,0.73472,0.6625,0.64753,0.21924,2.11398,1.59224,1.4626,0.0006536,0.0006536,0.0006536
70,363.653,1.6235,0.99937,1.13152,0.71765,0.6375,0.66185,0.22295,2.18172,1.5472,1.50799,0.0006338,0.0006338,0.0006338
71,368.74,1.599,1.01125,1.1761,0.73237,0.6625,0.6765,0.22357,2.1532,1.58661,1.48908,0.000614,0.000614,0.000614
72,373.857,1.56724,0.96185,1.17304,0.7571,0.6625,0.67275,0.23352,2.15072,1.51564,1.48821,0.0005942,0.0005942,0.0005942
